"A","Z","N","energy","half-life (s)","mass"
136,56,80,8.724908,NA,135.904574576369
135,56,79,8.722072,NA,134.905687250991
137,56,81,8.711628,NA,136.905826082041
138,56,82,8.710904,NA,137.905245941118
27,13,14,8.708242,NA,26.9815383223015
140,58,82,8.700494,NA,139.905437277063
139,57,82,8.698892,NA,138.906351779737
26,12,14,8.694981,NA,25.982592231119
141,59,82,8.681405,NA,140.907651325597
142,60,82,8.676646,NA,141.907721847945
24,12,12,8.651911,NA,23.9850409913314
25,12,13,8.599047,NA,24.9858364951892
156,64,92,8.536342,NA,155.922121116918
157,64,93,8.522478,NA,156.923958620932
158,64,94,8.518775,NA,157.92410238368
159,65,94,8.50868,NA,158.925345170026
23,11,12,8.485675,NA,22.9897689019393
163,66,97,8.478607,NA,162.928729465858
164,66,98,8.473604,NA,163.929173057665
22,10,12,8.436087,NA,21.9913849001986
20,10,10,8.423422,NA,19.9924400198107
16,8,8,8.36739,NA,15.9949144610189
21,10,11,8.34428,NA,20.9938462317755
19,9,10,8.149612,NA,18.9984030139227
17,8,9,8.118904,NA,16.9991315463893
18,8,10,8.114744,NA,17.9991608478652
12,6,6,8.071327,NA,11.9999998860149
15,7,8,8.064594,NA,15.0001082801053
14,7,7,7.866827,NA,14.0030734237824
13,6,7,7.830943,NA,13.0033546932476
4,2,2,7.465077,NA,4.00260330645311
11,5,6,7.283337,NA,11.0093052577028
10,5,5,6.866257,NA,10.0129368629263
9,4,5,6.810483,NA,9.01218205927252
7,3,4,5.941599,NA,7.01600443204635
6,3,3,5.723527,NA,6.01512274406804
3,2,1,3.094327,NA,3.01602905849549
2,1,1,1.503327,NA,2.01410205633058
1,1,0,0.782327,NA,1.00782505346306
74,34,40,9.047175,NA,73.9224757230701
80,34,46,9.043326,NA,79.9165205365865
86,36,50,9.039532,NA,85.9106098570944
84,38,46,9.031375,NA,83.9134242771635
102,46,56,8.933337,NA,101.905607644459
104,44,60,8.918337,NA,103.905431542758
36,18,18,8.911105,NA,35.9675442641551
112,50,62,8.862944,NA,111.904817330835
122,50,72,8.80859,NA,121.903437751
126,54,72,8.77901,NA,125.904272960375
143,60,83,8.658792,NA,142.90981289087
144,62,82,8.640577,NA,143.911998075024
146,60,86,8.625649,NA,145.913115602554
150,62,88,8.585043,NA,149.917274057876
152,62,90,8.563227,NA,151.919730951911
153,63,90,8.550893,NA,152.921228753291
154,64,90,8.549985,NA,153.920864024361
155,64,91,8.536341,NA,154.922620506927
158,66,92,8.516973,NA,157.924408038863
160,66,94,8.506816,NA,159.925195816587
161,66,95,8.494067,NA,160.926931835256
162,66,96,8.492234,NA,161.92679678035
164,68,96,8.473462,NA,163.92919805836
165,67,98,8.464689,NA,164.930320342601
166,68,98,8.462482,NA,165.930291347411
167,68,99,8.45035,NA,166.932046463357
168,68,100,8.446308,NA,167.932368552516
169,69,100,8.433931,NA,168.934211530531
170,70,100,8.428792,NA,169.93476012998
171,70,101,8.418182,NA,170.936324107839
172,70,102,8.415864,NA,171.93637975194
173,70,103,8.404023,NA,172.938209014356
174,70,104,8.398624,NA,173.93886035627
175,71,104,8.386589,NA,174.94076999708
176,72,104,8.381427,NA,175.94140686762
177,72,105,8.370139,NA,176.943218867447
178,72,106,8.365958,NA,177.943697020932
179,72,107,8.353293,NA,178.945814474115
180,72,108,8.34793,NA,179.946548096744
181,73,108,8.338961,NA,180.947993921412
185,75,110,8.308204,NA,184.95295313006
187,76,111,8.291746,NA,186.955748503962
188,76,112,8.290138,NA,187.955836401622
189,76,113,8.277599,NA,188.9581456499
190,76,114,8.275045,NA,189.958445146323
191,77,114,8.263508,NA,190.960592062924
194,78,116,8.250519,NA,193.962678277373
193,77,116,8.250259,NA,192.96292452783
195,78,117,8.239516,NA,194.964789277483
196,78,118,8.237896,NA,195.964949581398
197,79,118,8.229404,NA,196.966566710426
198,80,118,8.227663,NA,197.966767068272
199,80,119,8.219805,NA,198.968277971184
200,80,120,8.218848,NA,199.968324040345
201,80,121,8.208956,NA,200.970300179697
202,80,122,8.206703,NA,201.970640995759
203,81,122,8.19823,NA,202.972342170408
204,80,124,8.192358,NA,203.973491910539
205,81,124,8.187526,NA,204.97442537877
206,82,124,8.186791,NA,205.974463169833
207,82,125,8.179791,NA,206.975894770042
134,54,80,8.728973,NA,133.905393121215
54,26,28,9.11304,NA,53.9396099453043
40,20,20,8.942485,NA,39.9625905587262
132,56,76,8.741288,NA,131.90506003236
208,82,126,8.175888,NA,207.976649848523
58,28,30,9.109736,NA,57.9353423333228
92,42,50,9.01486,NA,91.9068100916649
160,64,96,8.496009,NA,159.927052103165
184,74,110,8.319737,NA,183.950929299585
186,74,112,8.299873,NA,185.954362350095
183,74,109,8.324699,NA,182.950221160746
182,74,108,8.336424,NA,181.948202286824
114,48,66,8.860985,NA,113.903357390624
148,60,88,8.594388,NA,147.916892294532
196,80,116,8.23371,NA,195.965830377098
154,62,92,8.541857,NA,153.922207792396
50,24,26,9.076517,NA,49.9460437352516
108,48,60,8.897735,NA,107.904182947207
156,66,90,8.523443,NA,155.924281349597
110,46,64,8.8745,NA,109.905152375035
170,68,102,8.424945,NA,169.935462217088
142,58,84,8.666666,NA,141.909243231706
106,48,58,8.893327,NA,105.906458948408
176,70,106,8.375271,NA,175.942570005419
204,82,122,8.194414,NA,203.973041640378
94,40,54,8.999698,NA,93.9063142692062
124,50,74,8.782914,NA,123.905272738789
123,52,71,8.796302,NA,122.904268837477
96,44,52,8.967911,NA,95.9075969314376
145,60,85,8.632963,NA,144.91257217544
192,78,114,8.260353,NA,191.961036048722
64,30,34,9.102634,NA,63.9291415650375
120,52,68,8.816369,NA,119.904018606739
70,30,40,9.065109,NA,69.9253185187306
46,20,26,9.009047,NA,45.9536921093783
149,62,87,8.589058,NA,148.917183332501
180,73,107,8.342767,NA,179.94754578422
198,78,120,8.222378,NA,197.967890457027
162,68,94,8.480852,NA,161.928776271144
168,70,98,8.437845,NA,167.933894900343
98,42,56,8.970426,NA,97.9054072710943
138,58,80,8.705878,NA,137.905990538425
136,58,78,8.707122,NA,135.907171367904
192,76,116,8.258202,NA,191.961479413848
128,52,76,8.743261,6.94e+31,127.907665883955
124,54,70,8.778264,5.68e+29,123.905891744318
78,36,42,9.022349,2.9e+29,77.9203640624734
136,54,82,8.706805,7.5e+28,135.907217650538
76,32,44,9.034656,5.642e+28,75.9214018894371
130,56,74,8.742574,3.79e+28,129.906319041615
82,34,48,9.017596,3.408e+27,81.9166985777609
116,48,68,8.836146,9.783e+26,115.904755134636
48,20,28,8.992452,7.258e+26,47.9525338651197
209,83,126,8.158689,6.343e+26,208.980396540148
96,40,56,8.961359,6.3e+26,95.9082721820896
130,52,78,8.766578,2.777e+26,129.902969025773
150,60,90,8.562594,2.493e+26,149.920889056609
100,42,58,8.933167,2.461e+26,99.9074767252099
151,63,88,8.565759,1.578e+26,150.91984858749
180,74,106,8.347127,5.68e+25,179.946703266808
50,23,27,9.055759,4.418e+24,49.9471579666754
113,48,65,8.859372,2.43e+23,112.904400806622
148,62,86,8.607423,2.209e+23,147.914821234721
144,60,84,8.652947,7.227e+22,143.910085792385
186,76,110,8.302508,6.312e+22,185.953836195395
174,72,102,8.392287,6.312e+22,173.940044086792
115,49,66,8.84991,1.392e+22,114.903876941044
152,64,88,8.562868,3.408e+21,151.919789533066
184,76,108,8.31185,3.53e+20,183.952487235374
190,78,112,8.267764,2.051e+19,189.959930276499
147,62,85,8.610593,3.345e+18,146.914896506102
138,57,81,8.69832,3.219e+18,137.907110249218
87,37,50,9.043718,1.568e+18,86.9091794713898
187,75,112,8.291732,1.3e+18,186.955751314501
176,71,105,8.374665,1.187e+18,175.942684505339
232,90,142,7.918533,4.434e+17,232.038053010925
238,92,146,7.872551,1.41e+17,238.050785702287
40,19,21,8.909707,3.938e+16,39.9639981038696
235,92,143,7.897198,2.222e+16,235.043927530626
244,94,150,7.826221,2.525e+15,244.064201914885
146,62,84,8.626136,2.144e+15,145.913039271421
92,41,51,9.01098,1.095e+15,91.9071933039676
236,92,144,7.89147,7.391e+14,236.045565681794
205,82,123,8.187279,5.459e+14,204.974479737676
129,53,76,8.757397,4.955e+14,128.904986868766
247,96,151,7.806008,4.923e+14,247.070351070785
182,72,110,8.324399,2.809e+14,181.950551791769
107,46,61,8.897197,2.051e+14,106.90513194178
97,43,54,8.970503,1.329e+14,96.906364484721
98,43,55,8.953246,1.325e+14,97.9072147328867
53,25,28,9.103175,1.18e+14,52.9412895768167
154,66,88,8.528457,9.467e+13,153.924423158005
60,26,34,9.094861,8.268e+13,59.9340708967211
210,83,127,8.140473,9.594e+13,209.984409436356
135,55,80,8.720082,7.258e+13,134.905975658614
237,93,144,7.881989,6.766e+13,237.048171007094
150,64,86,8.576454,5.649e+13,149.918657158421
93,40,53,9.008069,4.828e+13,92.9064751686125
10,4,6,6.810657,4.765e+13,10.0135337534472
26,13,13,8.540954,2.263e+13,25.9868914553327
242,94,148,7.845218,1.183e+13,242.058740293292
208,83,125,8.162049,1.161e+13,207.979740058104
248,96,152,7.799586,1.098e+13,248.07234567939
36,17,19,8.89138,9.499e+12,35.9683065878221
79,34,45,9.03231,9.309e+12,78.9184982966639
234,92,142,7.908308,7.747e+12,234.040949669419
126,50,76,8.754026,7.258e+12,125.907652460033
81,36,45,9.030513,7.227e+12,80.9165912242611
99,43,56,8.953379,6.662e+12,98.9062538090916
186,75,111,8.295958,6.312e+12,185.955144094175
233,92,141,7.912873,5.024e+12,233.039632801015
236,93,143,7.887514,4.86e+12,236.046567959744
41,20,21,8.928347,3.219e+12,40.9622776111216
59,28,31,9.107863,2.398e+12,58.9343461801044
230,90,140,7.937136,2.379e+12,230.033131605312
137,57,80,8.707101,1.893e+12,136.906491893019
202,82,120,8.199714,1.657e+12,201.972156601705
231,91,140,7.926627,1.034e+12,231.035881768888
239,94,145,7.868022,7.609e+11,239.052161125007
94,41,53,8.990099,6.406e+11,93.907282934491
245,96,149,7.822329,2.682e+11,245.06548870473
250,96,154,7.779371,2.619e+11,250.078354535795
243,95,148,7.836035,2.326e+11,243.061378602161
229,90,139,7.942127,2.316e+11,229.031760559431
240,94,146,7.862465,2.07e+11,240.05381113669
14,6,8,7.85562,NA,14.0032418607049
246,96,150,7.816781,1.502e+11,246.067221187145
163,67,96,8.478591,1.442e+11,162.928732265661
93,42,51,9.004693,1.262e+11,92.9068122271072
226,88,138,7.966597,5.049e+10,226.025407547168
247,97,150,7.806182,4.355e+10,247.070304932007
166,67,99,8.451273,3.787e+10,165.932288884481
251,98,153,7.775969,2.834e+10,251.079584655395
91,41,50,9.023327,2.146e+10,90.9069958629409
194,80,114,8.237271,1.401e+10,193.965437405953
108,47,61,8.881439,1.382e+10,107.906072350474
241,95,146,7.851676,1.364e+10,241.056826724384
249,98,151,7.791305,1.108e+10,249.074851010498
248,97,151,7.796811,NA,248.073084492441
39,18,21,8.923686,8.489e+09,38.9643128754256
192,77,115,8.251875,7.605e+09,191.962783538046
158,65,93,8.511055,5.68e+09,157.925411849835
242,95,147,7.841913,4.45e+09,242.0595989246
32,14,18,8.823856,4.166e+09,31.974147757807
209,84,125,8.149633,3.951e+09,208.982428441364
63,28,35,9.11121,3.159e+09,62.9296687050879
151,62,89,8.565251,2.84e+09,150.919930936911
238,94,144,7.877358,2.768e+09,238.04955749698
157,65,92,8.522096,2.241e+09,156.924023005666
148,64,84,8.586706,2.237e+09,147.918112845469
232,92,140,7.922143,2.174e+09,232.037153896268
44,22,22,8.924702,1.893e+09,43.9596896113287
193,78,115,8.249965,1.578e+09,192.962985442869
121,50,71,8.808499,1.385e+09,120.904241065638
150,63,87,8.569974,1.164e+09,149.919700643288
42,18,24,8.890923,1.038e+09,41.9630449580646
207,83,124,8.168209,1.038e+09,206.978468564115
178,72,106,NA,977600000,NA
137,55,82,8.703047,947700000,136.907088137267
243,96,147,7.836004,918300000,243.061386689168
90,38,52,9.026239,9.12e+08,89.9077365319867
210,82,128,8.141462,700600000,209.984186471982
227,89,138,7.957447,687100000,227.027749774721
244,96,148,7.831763,571200000,244.06275021702
145,61,84,8.631838,558600000,144.912747297322
93,41,52,NA,508400000,NA
241,94,147,7.85159,4.51e+08,241.056848974659
113,48,65,NA,4.38e+08,NA
152,63,89,8.550897,426200000,151.921742945326
250,98,152,7.78664,412800000,250.076403637775
3,1,2,3.087994,388800000,3.01604945475989
85,36,49,9.029919,338400000,84.9125264756145
133,56,77,8.729624,331900000,132.906006192029
154,63,91,8.5372,271100000,153.922977714608
194,76,118,8.238508,189300000,193.965179778987
228,88,140,7.94439,181500000,228.031067956923
146,61,85,8.615574,174500000,145.914694732251
60,27,33,9.098811,166300000,59.9338164667689
155,63,92,8.534711,1.5e+08,154.922891737845
204,81,123,8.190671,119300000,203.973861368595
174,71,103,8.390726,104500000,173.9403356764
101,45,56,8.936753,104100000,100.906162669818
102,45,57,8.92068,91520000,101.906993604925
208,84,124,8.155315,91450000,207.981243741269
236,94,142,7.889536,90190000,236.046055673087
125,51,74,8.777367,87050000,124.905253177905
55,26,29,9.116407,86370000,54.9382928066935
252,98,154,7.769605,83470000,252.081623398471
147,61,86,8.609068,82790000,146.915137167851
22,11,11,8.306891,82130000,21.9944362474831
134,55,79,8.719768,65170000,133.906717305659
171,69,102,8.41762,60590000,170.936427277575
228,90,138,7.953906,60330000,228.028738744108
172,72,100,8.399252,59010000,171.939447150856
179,73,106,8.352703,57430000,178.945927851108
173,71,102,8.400147,43230000,172.938928877207
252,99,153,7.764621,40750000,252.08297173551
109,48,61,8.883327,39860000,108.904981723227
235,93,142,7.896669,34220000,235.044060988261
106,44,62,8.885686,32280000,105.90732846116
144,61,83,8.636751,31360000,143.912589537706
145,62,83,8.62759,29380000,144.913408557547
248,98,150,7.800198,28810000,248.07218274116
249,97,152,7.790805,28510000,249.074984666739
49,23,26,9.05004,28430000,48.9485156476792
54,25,29,9.100131,26970000,53.9403582978684
119,50,69,NA,25340000,NA
144,58,86,8.629918,24620000,143.913645853572
254,99,155,7.748524,23820000,254.088019574559
57,27,30,9.112454,23480000,56.9362908007857
68,32,36,9.056327,23410000,67.9280933701111
143,61,82,8.651509,22900000,142.910930953773
110,47,63,8.865355,21580000,109.906232306724
65,30,35,9.085352,21050000,64.9292403462877
153,64,89,8.547731,20770000,152.921748118898
102,45,57,NA,17880000,NA
195,79,116,8.238353,16080000,194.965032741182
194,77,117,8.238025,14770000,193.965280372216
184,75,109,8.31067,14600000,183.95272032327
242,96,146,7.84486,14070000,242.058833300858
45,20,25,8.978261,14050000,44.9561860584457
177,71,106,8.361829,13860000,176.94479791126
121,52,69,8.800749,13310000,120.90524778162
159,66,93,8.506378,12480000,158.925738106492
174,71,103,NA,12270000,NA
210,84,126,8.147295,11960000,209.982871455605
139,58,81,8.696881,11890000,138.906651866447
123,50,73,8.785311,11160000,122.905720154234
170,69,101,8.423096,11110000,169.935799664205
151,64,87,8.562685,10710000,150.920346898751
181,74,107,8.337924,10470000,180.94819542242
75,34,41,9.033581,10350000,74.9225226295957
123,52,71,NA,10300000,NA
113,50,63,8.853035,9944000,112.905169551156
182,73,109,8.326456,9887000,181.950149884769
127,52,75,8.765759,9418000,126.905319864644
88,39,49,9.029272,9212000,87.9095002980608
257,100,157,7.726619,8683000,257.095102783608
185,76,109,8.30273,8087000,184.954040297437
168,69,99,8.436316,8044000,167.934170663764
149,63,86,8.584395,8044000,148.917929216987
97,43,54,NA,7862000,NA
35,16,19,8.89551,7561000,34.9690317795826
83,37,46,9.024038,7448000,82.9151086977561
46,21,25,8.979091,7239000,45.9551714273862
88,40,48,9.021589,7206000,87.9102261255226
73,33,40,9.043341,6938000,72.9238238141044
56,27,29,9.072031,6673000,55.939838674937
185,74,111,8.305866,6489000,184.95341747009
192,77,115,NA,6379000,NA
160,65,95,8.495346,6247000,159.927165984724
58,27,31,9.103153,6122000,57.9357522274907
183,75,108,8.321661,6048000,182.950818001884
175,72,103,8.382665,6048000,174.941507199815
188,74,114,8.277003,6029000,187.958487389958
85,38,47,9.02548,5602000,84.9129315399075
95,40,55,8.972989,5532000,94.9080415749914
95,43,52,8.976359,5270000,94.907697879847
91,41,50,NA,5258000,NA
254,98,156,7.751087,5227000,254.087320695201
124,51,73,8.777943,5194000,123.905934475668
125,53,72,8.782019,5132000,124.90462891201
91,39,52,9.020174,5055000,90.9073038874354
125,52,73,NA,4959000,NA
148,63,85,8.586882,4709000,147.918084881793
7,4,3,5.81847,4598000,7.01692972292877
258,101,157,7.715948,4450000,258.098428426942
89,38,51,9.039969,4369000,88.9074498429446
114,49,65,8.846608,4278000,113.90511690579
146,64,82,8.592512,4171000,145.918309411068
203,80,123,8.195806,4026000,202.972870431401
237,94,143,7.88106,3905000,237.04840737252
115,48,67,8.835754,3850000,114.90562460643
59,26,33,9.099516,3844000,58.9348748715891
181,72,109,8.333272,3662000,180.949099359436
148,61,87,8.5898,3567000,147.917621256742
105,47,58,8.900547,3567000,104.906527557375
255,99,156,7.741567,3439000,255.090270613128
103,44,59,8.9185,3392000,102.906322831115
127,54,73,8.766768,3145000,126.905182297482
184,75,109,NA,3059000,NA
95,41,54,8.984821,3023000,94.9068348684786
37,18,19,8.907752,3020000,36.966775900892
129,52,77,8.744953,2903000,128.906710203349
84,37,47,9.020732,2860000,83.9143840384735
241,96,145,7.848492,2834000,241.05765050201
141,58,83,8.677286,2809000,140.908274817467
169,70,99,8.428546,2767000,168.935188525444
260,101,159,7.699789,2748000,260.103701761782
51,24,27,9.080127,2393000,50.9447669597519
240,96,144,7.855805,2333000,240.055527089583
233,91,142,7.910426,2331000,233.040244883258
82,38,44,8.998254,2208000,81.9184012659432
33,15,18,8.869434,2189000,32.9717251854663
179,72,107,NA,2164000,NA
234,90,144,7.897763,2082000,234.043598671698
147,63,84,8.598879,2082000,146.916745103958
178,74,104,8.354563,1866000,177.94587450117
230,92,138,7.933871,1797000,230.033937783256
253,99,154,7.759019,1769000,253.084822528926
121,52,69,NA,1656000,NA
227,90,137,7.957644,1614000,227.027701766902
86,37,49,9.033502,1611000,85.911166575595
253,98,155,7.757885,1539000,253.085130530876
74,33,41,9.028895,1535000,73.9239279276482
230,91,139,7.931436,1503000,230.03453902163
103,46,57,8.920638,1468000,102.906086421674
99,45,54,8.935711,1391000,98.9081315794344
48,23,25,8.99789,1380000,47.9522536443439
191,76,115,8.26187,1331000,190.960927929785
205,83,122,8.174069,1323000,204.977386948782
156,63,93,8.520642,1312000,155.924750441134
225,88,137,7.973576,1287000,225.023609364928
32,15,17,8.830865,1232000,31.9739069747474
117,50,67,NA,1210000,NA
143,59,84,8.652258,1172000,142.910815969684
189,77,112,8.274783,1140000,188.958717015836
136,55,81,8.706171,1127000,135.907310215804
126,53,73,8.769026,1117000,125.905623461679
140,56,84,8.66612,1102000,139.910603557759
126,51,75,8.757042,1067000,125.907244496097
202,81,121,8.199956,1057000,201.972104122575
131,54,77,NA,1023000,NA
190,77,113,8.264755,1018000,189.960544032398
131,56,75,8.733037,993600,130.906939647962
223,88,135,7.994042,987600,223.018499936654
71,32,39,9.055943,987600,70.9249502878989
147,60,87,8.602973,948700,146.916099025793
246,94,152,7.805494,936600,246.070201991847
193,77,116,NA,909800,NA
188,78,110,8.272514,881300,187.959393388179
92,41,51,NA,877000,NA
225,89,136,7.975159,857100,225.023226995357
131,55,76,8.743541,837100,130.905462425512
125,50,75,8.758515,832900,124.907782984582
169,68,101,8.431852,811500,168.934588721325
149,64,85,8.575576,801800,148.919339887218
167,69,98,8.445866,799200,166.93285036324
129,54,75,NA,767200,NA
206,84,122,8.15959,760300,205.980478673297
72,34,38,9.0143,725800,71.9271120526881
106,47,59,8.890639,715400,105.906764831182
171,71,100,8.409532,711900,170.937912040598
131,53,78,8.738842,693000,130.906123265982
257,99,158,7.723468,665300,257.095972147137
111,47,64,8.866111,643700,110.905289785622
161,65,96,8.490383,596700,160.927568580028
237,92,145,7.8798,583200,237.048727954259
172,71,101,8.401217,578900,171.939084314421
177,71,106,NA,574300,NA
132,55,77,8.731599,559900,131.906433039443
206,83,123,8.168551,539400,205.978496947385
196,79,117,8.230205,532800,195.966567880426
56,28,28,9.033899,524900,55.9421311124247
118,52,66,8.814726,518400,117.905826428916
145,63,82,8.609245,512400,144.916264211698
120,51,69,8.808194,497700,119.905071753504
52,25,27,9.046431,483100,51.9455650143505
148,61,87,NA,463800,NA
156,65,91,8.520667,462200,155.924746254312
155,65,90,8.531031,459600,154.923504087401
133,54,79,8.730302,453000,132.905909386263
183,73,110,8.318847,440600,182.951370836302
210,83,127,NA,433000,NA
245,97,148,7.81902,426800,245.066359032302
119,52,67,8.801773,406100,118.9066831162
146,63,83,8.59956,398300,145.917204725599
47,20,27,8.972181,391900,46.9545455481171
234,93,141,7.900571,380200,234.042893275927
101,45,56,NA,374000,NA
193,78,115,NA,374000,NA
96,43,53,8.965255,369800,95.9078706594186
231,92,139,7.924977,362900,231.036290950223
175,70,105,8.383902,361600,174.941274804356
124,53,71,8.775884,360800,123.906208568654
195,78,117,NA,346000,NA
127,51,76,8.754005,332600,126.906922406191
222,86,136,7.997573,330400,222.017575445399
186,75,111,NA,321000,NA
224,88,136,7.987277,313800,224.020209701802
100,46,54,8.923587,313600,99.90850518046
95,41,54,NA,311000,NA
166,66,100,8.448376,293800,165.932805153987
140,60,80,8.673113,291200,139.909552536612
47,21,26,9.014564,289400,46.9524070471917
87,39,48,9.025565,287300,86.9108749313996
89,40,49,9.024912,282300,88.9088884704104
67,31,36,9.069532,281900,66.9282010185093
132,52,80,8.716646,276800,131.908551996498
134,58,76,8.704432,273000,133.908923464554
199,79,120,8.217534,271200,198.968763136896
201,81,120,8.206561,262500,200.97081697846
253,100,153,7.757691,259200,253.085183222568
191,78,113,8.258228,247300,190.96167471068
111,49,62,8.867688,242300,110.905101864948
97,44,53,8.95908,241100,96.9075540048663
99,42,57,8.939669,237500,98.9077109197663
122,51,71,8.795346,235300,121.905172349207
71,33,38,9.027581,235000,70.9271120858048
198,79,119,8.220732,232900,197.968240333638
197,80,117,8.226358,230900,196.967210903447
90,39,51,9.032294,230600,89.9071515041282
182,75,107,8.321053,230400,181.951205550068
172,69,103,8.404932,229000,171.93839834121
67,29,38,9.076086,222600,66.9277296059702
44,21,23,8.924627,211000,43.9596931540243
128,56,72,8.738523,210000,127.908316949805
77,35,42,9.022431,205300,76.9213782576739
166,70,96,8.44234,204100,165.933880819413
177,73,104,8.363553,203600,176.944470321425
239,93,146,7.864999,203600,239.0529367574
153,65,88,8.537471,202200,152.923433346959
66,28,38,9.071423,196600,65.9291386603535
247,94,153,7.791975,196100,247.074072136749
198,79,119,NA,196000,NA
115,48,67,NA,192000,NA
149,61,88,8.581871,191100,148.918332951159
133,54,79,NA,189000,NA
203,82,121,8.193431,186900,202.973388013851
238,93,145,7.871931,182900,238.050944114455
240,95,145,7.856694,182900,240.055298038214
172,68,104,8.399752,177500,171.939354826064
170,71,99,8.408445,173800,169.938473508295
72,30,42,9.017591,167400,71.926857674266
153,62,91,8.545614,166600,152.922095840907
202,78,124,8.183209,158400,201.975735808478
48,21,27,8.998327,157200,47.9522311256828
